time,open,high,low,close,tick_volume,spread,real_volume
2025-02-12 21:25:00,2894.39,2895.6,2893.57,2895.05,696,7,0
2025-02-12 21:30:00,2895.05,2896.38,2894.86,2896.05,670,7,0
2025-02-12 21:35:00,2896.05,2896.75,2895.38,2896.04,585,7,0
2025-02-12 21:40:00,2896.04,2896.43,2894.09,2895.23,490,7,0
2025-02-12 21:45:00,2895.22,2896.82,2895.06,2896.47,696,7,0
2025-02-12 21:50:00,2896.47,2897.81,2896.4,2897.69,587,7,0
2025-02-12 21:55:00,2897.68,2899.1,2897.54,2897.89,824,7,0
2025-02-12 22:00:00,2897.91,2897.91,2895.51,2896.05,623,7,0
2025-02-12 22:05:00,2896.05,2896.9,2895.87,2896.6,433,7,0
2025-02-12 22:10:00,2896.6,2897.91,2896.3,2897.82,481,7,0
2025-02-12 22:15:00,2897.82,2898.5,2897.58,2898.49,331,7,0
2025-02-12 22:20:00,2898.49,2900.22,2898.49,2900.13,504,7,0
2025-02-12 22:25:00,2900.13,2900.26,2899.5,2899.76,449,7,0
2025-02-12 22:30:00,2899.76,2900.26,2899.65,2900.2,604,7,0
2025-02-12 22:35:00,2900.19,2900.26,2899.61,2900.06,436,7,0
2025-02-12 22:40:00,2900.06,2901.08,2899.99,2900.6,614,7,0
2025-02-12 22:45:00,2900.6,2901.46,2900.6,2900.83,690,7,0
2025-02-12 22:50:00,2900.83,2901.04,2899.66,2900.45,756,7,0
2025-02-12 22:55:00,2900.45,2901.27,2899.98,2900.97,924,7,0
2025-02-12 23:00:00,2900.96,2901.19,2900.2,2900.48,539,7,0
2025-02-12 23:05:00,2900.48,2901.04,2900.17,2900.61,424,7,0
2025-02-12 23:10:00,2900.61,2901.7,2900.47,2901.06,366,7,0
2025-02-12 23:15:00,2901.02,2902.99,2900.99,2902.09,695,7,0
2025-02-12 23:20:00,2902.09,2902.73,2902.09,2902.27,540,7,0
2025-02-12 23:25:00,2902.27,2903.92,2902.07,2902.92,499,7,0
2025-02-12 23:30:00,2902.92,2903.06,2902.37,2902.84,354,7,0
2025-02-12 23:35:00,2902.84,2902.89,2902.03,2902.54,525,7,0
2025-02-12 23:40:00,2902.54,2903.28,2902.52,2903.01,342,7,0
2025-02-12 23:45:00,2903.01,2903.83,2902.95,2903.59,606,7,0
2025-02-12 23:50:00,2903.56,2904.27,2903.44,2903.97,654,7,0
2025-02-12 23:55:00,2903.97,2904.32,2903.54,2904.25,225,7,0
2025-02-13 01:05:00,2904.76,2905.05,2904.34,2904.45,179,7,0
2025-02-13 01:10:00,2904.58,2904.63,2904.12,2904.19,163,7,0
2025-02-13 01:15:00,2904.19,2904.29,2903.79,2903.85,122,7,0
2025-02-13 01:20:00,2903.85,2903.93,2903.24,2903.36,77,7,0
2025-02-13 01:25:00,2903.36,2903.59,2901.92,2902.04,157,7,0
2025-02-13 01:30:00,2902.04,2902.42,2900.52,2901.24,239,7,0
2025-02-13 01:35:00,2901.24,2902.3,2901.2,2901.79,207,7,0
2025-02-13 01:40:00,2901.79,2901.82,2901.53,2901.76,155,7,0
2025-02-13 01:45:00,2901.76,2904.03,2901.75,2903.81,306,7,0
2025-02-13 01:50:00,2903.81,2905.71,2903.64,2905.58,400,7,0
2025-02-13 01:55:00,2905.58,2906.55,2905.37,2905.83,446,7,0
