Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.5056915283203,152.61013505752078,150.33138558688324,150.7586493016358,22622100
2020-01-03,150.60675048828125,151.8695626184331,150.0750431677832,150.32191762939865,21116200
2020-01-06,150.9960479736328,151.06251863556693,148.60335043895984,149.14456187034835,20813700
2020-01-07,149.61924743652344,151.60365964357203,149.37238754314603,151.27134992032552,21634100
2020-01-08,152.00245666503906,152.67659475751987,149.97056727826134,150.90105488844765,27746500
2020-01-09,153.90145874023438,154.02489597609247,152.89501062983652,153.66408835616173,21385000
2020-01-10,153.18934631347656,154.97437622299165,153.0374257918288,154.59458940681066,20725900
2020-01-13,155.03128051757812,155.0597637929525,153.11332454408566,153.58806511756865,21626500
2020-01-14,153.93942260742188,155.33516141166606,153.55013175988464,155.13576394480137,23477400
2020-01-15,154.93637084960938,155.65798599963676,154.35720109299407,154.40466357354921,21417900
2020-01-16,157.77528381347656,157.84175444938765,155.74339469520643,156.0472356229151,23865400
2020-01-17,158.65834045410156,159.00964391984007,157.07269383948528,158.96216695443158,34371700
2020-01-21,158.08863830566406,159.69326403956893,158.02216765967506,158.25953798746136,29517200
2020-01-22,157.32904052734375,159.02862008132692,157.31004684568597,158.94315575783406,24138800
2020-01-23,158.29751586914062,158.37347610803346,156.9207709480515,157.79429196341795,19680800
2020-01-24,156.7023468017578,159.06655984223946,156.14215645691445,159.0475661645358,24918100
2020-01-27,154.0818328857422,155.1262681697583,152.10690993192532,153.00891432015612,32078100
2020-01-28,157.1011962890625,157.386029114127,154.83193635911937,155.50606002902032,24899900
2020-01-29,159.55087280273438,160.22501107587996,157.3195998597742,159.36097939089882,34754500
2020-01-30,164.05137634277344,165.25722163927998,162.16190335753365,165.25722163927998,51597500
2020-01-31,161.6302032470703,163.69057600096366,161.0130461758437,163.51018671757376,36142700
2020-02-03,165.570556640625,165.68448976248862,161.7916105688836,161.82009384934952,30107000
2020-02-04,171.02056884765625,171.51430318526613,167.40304737617856,168.1911186016925,36433300
2020-02-05,170.81167602539062,174.89444841618726,169.39695819420768,174.733038337566,39186300
2020-02-06,174.35325622558594,174.5336599911423,170.9636010212311,171.82763248366683,27751400
2020-02-07,174.60015869140625,176.2522617760695,173.26138625148627,173.61270427083156,33529100
2020-02-10,179.16714477539062,179.30007159743232,173.99247382656716,174.30580444022337,35844300
2020-02-11,175.1223602294922,181.06610886617437,174.22984535212527,181.01863189628392,53159900
2020-02-12,175.3787078857422,176.46111605357248,172.6631906242822,176.20475203047337,47062900
2020-02-13,174.42921447753906,176.8218969013737,173.63163918165944,173.83103662761303,35295800
2020-02-14,175.9863739013672,176.04334046425984,173.42276266771293,173.99245727251068,23149500
2020-02-18,177.7713623046875,178.21761963094866,176.12876387343266,176.23320738570513,27792200
2020-02-19,178.3045654296875,179.16142692930302,177.53338717453187,179.0471826033565,29997500
2020-02-20,175.5815887451172,178.27596149526204,172.4207087578215,177.99033622154437,36862400
2020-02-21,170.03102111816406,174.70571148986244,168.75524447726494,174.3915250882964,48572600
2020-02-24,162.70001220703125,166.18460839539688,155.40711798395014,159.7295443887545,68311100
2020-02-25,160.0152130126953,166.4607487234575,159.6153288264737,165.85142145386897,68073300
2020-02-26,162.0145263671875,164.95643327525875,160.14846836228023,161.57658020435423,56206100
2020-02-27,150.59921264648438,159.0250819903897,150.4088005568928,155.4928919668059,93174900
2020-02-28,154.24559020996094,155.86412854172175,144.71532934299802,145.10568338901115,97012700
2020-03-02,164.50897216796875,164.63274652111016,154.5312339166153,157.3874578629097,71030800
2020-03-03,156.6258087158203,166.61307787065545,154.48364057176903,165.4705910993296,71677000
2020-03-04,162.3763427734375,162.51914816724377,157.6826069544084,160.41507121846044,49814400
2020-03-05,158.30148315429688,162.68101857562968,157.7492780197032,158.09202553333,47817300
2020-03-06,153.8267364501953,155.292925288608,148.523672701681,154.81688787610258,72821100
2020-03-09,143.40147399902344,150.18977065923806,142.8111923859633,143.7632670018697,70419300
2020-03-10,153.2078857421875,153.31261455858123,145.26758484382228,150.5801643410945,65354400
2020-03-11,146.2672119140625,150.142147623248,143.90605666471419,149.59947270575952,56371600
2020-03-12,132.3955078125,146.1149079701268,131.93851601607352,138.33645927607344,93226400
2020-03-13,151.218017578125,154.15040922743378,133.9854606961012,140.43101010915177,92727400
2020-03-16,128.9299774169922,142.1923879376455,128.5301077140718,133.29048207385222,87905900
2020-03-17,139.54559326171875,140.43101574371315,128.53008220611034,133.29045562115147,81059800
2020-03-18,133.6712646484375,139.00288808460238,128.54911330868097,131.3862914772269,81593200
2020-03-19,135.87057495117188,142.9539978968266,132.33837173085726,135.9276971037771,85922700
2020-03-20,130.76748657226562,140.0502163678412,129.34888981462817,139.00292822092638,84866200
2020-03-23,129.46311950683594,133.83315361883407,126.16894903091577,130.4437553300874,78975200
2020-03-24,141.23074340820312,142.43036670801416,134.4995835056753,136.8607244581916,82516700
2020-03-25,139.87879943847656,146.93367575898048,137.51765848214595,141.7734331352431,75638200
2020-03-26,148.62835693359375,149.15200083578847,141.25929476840096,141.2878558423839,64568100
2020-03-27,142.52554321289062,147.4668119658446,142.0495059847063,144.47729875394708,57042300
2020-03-30,152.5509033203125,152.90318078769192,142.82070011414092,145.1342488589376,63420300
2020-03-31,150.1516876220703,156.88284731331882,149.05679314426825,151.760681450788,77927200
2020-04-01,144.820068359375,150.18976853607813,143.5918985143203,145.66741417445297,57969900
2020-04-02,147.81910705566406,148.02856464387787,143.15394701455227,144.58205901009748,49630700
2020-04-03,146.45767211914062,149.83754065445603,144.89626998674962,147.66681121497362,41243300
2020-04-06,157.3494110107422,158.5204589823689,150.02795325346136,152.63664351406544,67111700
2020-04-07,155.6547088623047,161.8527103645991,155.43572120612328,161.46235622358842,62769000
2020-04-08,157.21612548828125,158.68231437318792,155.66423882549927,157.7302395179861,48318200
2020-04-09,157.22564697265625,159.3487699126129,155.5023937437558,158.3871795022761,51385100
2020-04-13,157.57786560058594,157.63500228106278,154.52171419659058,156.47347007896627,41905300
2020-04-14,165.37539672851562,165.42300337599616,159.9485730484452,160.90064788801928,52874300
2020-04-15,163.64260864257812,165.2516172547934,161.12913194567304,162.99519027424256,40940800
2020-04-16,168.55528259277344,168.78378572911677,164.613694287761,165.94660745850538,50479600
2020-04-17,170.04054260253906,171.37344133525505,167.44136828248293,170.8974039982127,52765600
2020-04-20,166.67022705078125,170.18338570098211,166.60358936313355,168.1649915934995,36669600
2020-04-21,159.77716064453125,165.34678813930984,158.149106744516,165.18493720638514,56203700
2020-04-22,165.2039794921875,165.66097120712655,162.63338112033648,163.17605605791945,34620200
2020-04-23,163.20465087890625,166.67020236608755,162.71909798935198,165.76573426475736,32790800
2020-04-24,166.18466186523438,166.1941773834813,162.52869806220386,163.81399034596006,34277600
2020-04-27,165.70858764648438,168.42199154998565,164.99453169385157,168.1268507472983,33194400
2020-04-28,161.67181396484375,167.25097268418668,161.27194430574508,167.17480495947623,34392700
2020-04-29,168.92662048339844,169.1646391773293,163.64261710014011,164.9183938130075,51286600
